ts,asset,funding_hourly_pct,funding_apy_pct,oi_usd,side,breakeven_days,net_apy_30d_pct,actionable
2026-06-25T06:30:37.635051+00:00,ETHFI,0.00125,10.95,3106867,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,ENA,0.00125,10.95,16252149,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,MNT,0.00125,10.95,2461705,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,HBAR,0.00125,10.95,3472145,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,POPCAT,0.00026,2.28,1440890,short_perp+spot_long,32.04,-0.15,0
2026-06-25T06:30:37.635051+00:00,EIGEN,0.00125,10.95,7161744,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,RENDER,0.00125,10.95,1326571,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,POL,0.00125,10.95,2200195,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,GRASS,0.00215,18.83,10162390,short_perp+spot_long,3.88,16.4,1
2026-06-25T06:30:37.635051+00:00,PURR,0.00125,10.95,6579933,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,XLM,0.00116,10.14,6900378,short_perp+spot_long,7.2,7.71,0
2026-06-25T06:30:37.635051+00:00,ALGO,0.00125,10.95,1767685,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,HYPE,0.00125,10.95,1303365479,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,VIRTUAL,-0.00021,-1.83,5320821,long_perp+spot_short,39.84,-0.6,0
2026-06-25T06:30:37.635051+00:00,PENGU,-0.00019,-1.66,3425830,long_perp+spot_short,43.87,-0.77,0
2026-06-25T06:30:37.635051+00:00,FARTCOIN,0.00125,10.95,16138255,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,BIO,0.00125,10.95,1142015,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,SPX,0.00125,10.95,2586897,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,MORPHO,0.00124,10.84,3779140,short_perp+spot_long,6.74,8.4,0
2026-06-25T06:30:37.635051+00:00,TRUMP,-0.00431,-37.71,10357973,long_perp+spot_short,1.94,35.28,1
2026-06-25T06:30:37.635051+00:00,VVV,-0.02554,-223.73,20717880,long_perp+spot_short,0.33,221.3,1
2026-06-25T06:30:37.635051+00:00,BERA,0.00125,10.95,1364436,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,LAYER,-0.02212,-193.74,1071420,long_perp+spot_short,0.38,191.31,1
2026-06-25T06:30:37.635051+00:00,IP,0.00125,10.95,3322075,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:30:37.635051+00:00,KAITO,-0.00705,-61.74,1147619,long_perp+spot_short,1.18,59.31,1
2026-06-25T06:30:37.635051+00:00,PAXG,-0.00066,-5.82,21675693,long_perp+spot_short,12.54,3.39,0
2026-06-25T06:30:37.635051+00:00,SYRUP,0.00125,10.95,1869549,short_perp+spot_long,6.67,8.52,0
